team,elo_rating
France,2020.9786280100457
Argentina,2012.4072938051725
Spain,2009.61768520301
Brazil,1952.069308799367
England,1950.0414122932532
Netherlands,1949.702485008019
Germany,1925.6763944482875
Mexico,1924.5475155908507
Portugal,1922.5916552500746
Colombia,1898.0828301778713
Yugoslavia,1893.6927435719097
Italy,1890.3563170659982
Japan,1889.937235027804
Morocco,1889.6695910354533
Croatia,1884.5441552189195
Belgium,1872.8426170794955
Ecuador,1855.0302884261316
Norway,1849.415347049887
Uruguay,1840.3148154226408
Switzerland,1839.9303528605165
Denmark,1839.7989296452079
Turkey,1839.7282656546965
Iran,1825.0931271727027
Paraguay,1815.6889054943997
Czechoslovakia,1815.2651168002571
United States,1812.188883996398
Australia,1806.7355903188381
Russia,1805.3115724461136
Austria,1800.5647600790674
South Korea,1798.941560211136
German DR,1790.9689328022464
Senegal,1786.9899135454139
Ukraine,1786.8640404185103
Algeria,1783.3269536899895
Canada,1778.790945909943
Scotland,1771.0709989081267
Basque Country,1763.6488992191291
Hungary,1761.6305455517993
Poland,1759.4286023225468
Egypt,1753.0568046356095
Sweden,1751.5494791751576
Serbia,1749.2392474495236
Jersey,1747.6737571671144
Wales,1747.2270371828054
Greece,1745.4744583193574
Ivory Coast,1743.9163579883482
Nigeria,1743.5678288459535
Venezuela,1736.6994792260627
Peru,1725.1158167561885
Czech Republic,1722.2092513422074
Chile,1721.6845232696671
Uzbekistan,1720.0276244195707
Costa Rica,1710.1022085744169
Republic of Ireland,1709.862748244353
Panama,1708.5030648703796
Slovenia,1703.2910088610124
Slovakia,1701.9333029387012
DR Congo,1695.1753047011805
Guernsey,1694.9716190467357
Saudi Arabia,1685.6372381767821
Romania,1681.1390417413004
Kosovo,1680.8031818011793
Iraq,1680.0157624881572
Cameroon,1677.3690905916415
Jordan,1667.1640345607793
Tunisia,1666.953182707473
Bolivia,1666.3639599095316
New Zealand,1664.2888776169139
Padania,1663.5863985489116
Catalonia,1663.5766637379588
South Africa,1661.4617707759114
Mali,1654.9463071199762
Northern Cyprus,1653.159862984639
Bosnia and Herzegovina,1651.166838188958
Georgia,1641.8317832004268
North Macedonia,1641.754097054932
United Arab Emirates,1640.0716928576915
Albania,1639.0059951336327
Honduras,1638.73107557766
Ghana,1633.989335654873
Cape Verde,1633.2174257219658
Isle of Man,1632.7333482134172
Jamaica,1630.8208865983643
Israel,1630.2289533076787
Ynys Môn,1628.5453205612341
Burkina Faso,1626.1689407057645
Isle of Wight,1620.055807029711
Qatar,1614.7721102975688
Abkhazia,1613.1198045765777
Occitania,1612.9697473996614
Iraqi Kurdistan,1608.1483901543018
Finland,1605.1552790664794
Northern Ireland,1605.0831668433934
Iceland,1600.9949859957453
Haiti,1599.6795846632156
Guatemala,1597.565986598201
Oman,1595.794802852548
Andalusia,1588.9131172506561
County of Nice,1585.3197770242623
Rhodes,1584.8857588290903
Kernow,1583.0915831812772
Kárpátalja,1581.775706234974
China,1566.750711792546
Bahrain,1565.5707977251525
Ellan Vannin,1565.2103098585728
Corsica,1564.4498497222507
Syria,1558.5431294132165
Kurdistan,1558.4335834364713
Montenegro,1553.7993382008349
Artsakh,1553.4342716031629
Bulgaria,1552.875329193837
Gabon,1551.503824563028
Arameans Suryoye,1547.1533778979524
Angola,1546.2728129184388
Yorkshire,1545.5663471254045
Zambia,1545.20628039769
Tamil Eelam,1544.013538780542
Palestine,1540.3718525372408
Thailand,1540.216485203506
Curaçao,1539.7004942577355
Galicia,1539.5963665429865
Maule Sur,1537.2051783074473
Uganda,1536.97343689926
New Caledonia,1535.519871828606
Panjab,1534.6946813678176
Guinea,1533.0837621937544
Belarus,1532.7845926595296
Benin,1531.7299079572856
Suriname,1530.864472494121
Menorca,1530.5417993376852
Cascadia,1528.606764760654
Brittany,1527.148050650666
Trinidad and Tobago,1525.0790424840802
Biafra,1519.9168242145197
Silesia,1519.746253162923
Chameria,1517.8374040231904
Canary Islands,1516.9385464367294
Elba Island,1516.378981933033
Crimea,1515.3397796902386
Réunion,1514.5020998036998
Quebec,1510.9988223933133
Asturias,1510.4815622264878
Kazakhstan,1509.4696614614365
Felvidék,1509.2702796234985
Surrey,1508.7648866296477
Parishes of Jersey,1507.9648338889253
North Korea,1507.9077053642243
Vietnam,1505.2447224902469
Mozambique,1505.0131310132103
Donetsk PR,1504.7757625681138
Kuwait,1503.2022689421037
Libya,1501.393260957817
Central Spain,1500.809180919766
Guadeloupe,1500.6331077395148
Mapuche,1500.5344275899026
Matabeleland,1499.0301930648316
Saugeais,1498.6845283967345
Saarland,1497.7690421617638
Åland Islands,1496.5999660168015
Délvidék,1496.4404151394044
Indonesia,1495.9929459550206
Tahiti,1495.9859729978436
Armenia,1494.4676729591536
El Salvador,1494.1661168862177
Gambia,1493.2940941749564
Franconia,1492.8338003796919
Madrid,1491.8217512174808
Cilento,1490.8742358708255
Luhansk PR,1490.8498357279927
United Koreans in Japan,1490.2667172235142
Ryūkyū,1489.8793999217783
Seborga,1489.2366329527144
Malaysia,1489.01009112639
Somaliland,1488.3007536322602
West Papua,1487.605226222633
Martinique,1483.1384117956218
Zanzibar,1482.6537197936932
Western Armenia,1481.9976547107854
South Ossetia,1480.995501217538
Equatorial Guinea,1480.9895222208959
Chechnya,1480.8399989817456
Yoruba Nation,1480.2799895007806
Kenya,1479.7710896095111
Székely Land,1479.267599122519
Monaco,1476.3111946395804
Manchukuo,1476.1746004946135
Hmong,1474.342134094959
Luxembourg,1473.0983588213712
Togo,1472.463355205086
Palau,1472.0985210996705
Fiji,1471.8044050675442
Sápmi,1469.7998555062331
Niue,1468.8749140062052
South Yemen,1468.7630988482124
Sealand,1468.4095736992788
Sudan,1467.6421029010812
Madagascar,1467.1429298125377
Romani people,1467.1364236863824
Kabylia,1464.2716866296594
Rwanda,1464.015343724422
Gozo,1463.8447859017242
Republic of St. Pauli,1463.046701412745
Sierra Leone,1462.805828191296
Shetland,1462.783303513343
Aymara,1462.26039410265
Kyrgyzstan,1461.1804135261925
Zimbabwe,1461.0414151845787
Papua New Guinea,1460.2424748457352
Comoros,1458.360210061835
North Vietnam,1458.2570140532116
East Turkestan,1457.6452554453385
Niger,1457.3448507192431
Mauritania,1456.6682324269818
Nicaragua,1456.1983145759152
Vanuatu,1456.0463177515016
Lebanon,1453.5382824246262
Ticino,1452.8774926038252
Estonia,1450.2091390356998
Vatican City,1447.8175089724073
Tajikistan,1446.6124444346374
Western Isles,1445.6182784642147
Găgăuzia,1445.3599669291177
Saint Barthélemy,1442.4659525458665
Western Sahara,1441.83891322961
Namibia,1440.8127761644896
Azerbaijan,1440.485867234285
Tanzania,1439.2587288106931
Solomon Islands,1438.213335638607
Guyana,1437.881397239547
Dominican Republic,1435.2588811701453
Greenland,1433.932804922387
Gotland,1431.9295279540545
Liberia,1431.7849970888685
Malawi,1431.0831492027673
Provence,1430.3501432596904
Marshall Islands,1430.1457435945058
French Guiana,1430.1111591120841
Botswana,1429.108617291658
Barawa,1428.176190302524
Cyprus,1426.506731982557
Raetia,1425.801043341811
Cuba,1422.1479592775352
Ambazonia,1420.853223958044
Guinea-Bissau,1418.77316368935
Two Sicilies,1417.9177874321433
Sark,1417.3473826194881
Faroe Islands,1415.148698914647
Mayotte,1414.5219297764052
Ethiopia,1412.4738530330228
Turkmenistan,1409.6413038228325
Lesotho,1401.9920996755218
Chagos Islands,1401.5584734831978
Micronesia,1401.4008550747592
Yemen DPR,1401.1213682947155
Burundi,1399.8306723980236
Orkney,1396.8121442507056
Congo,1389.9980296751994
Latvia,1388.0750300593475
Darfur,1386.2735324370349
Western Australia,1381.4417963084259
Lithuania,1379.803438539636
Saint Helena,1379.3591481172016
Bermuda,1373.5124329984096
Saint Pierre and Miquelon,1373.0787497822703
Central African Republic,1372.8727989653744
Vietnam Republic,1371.7848823406782
Moldova,1370.4241973931842
Malta,1368.5926765284714
Singapore,1363.1136749554582
Philippines,1362.0973255043589
Hitra,1361.3443199438627
Hong Kong,1358.6161814288864
Puerto Rico,1346.6367339655671
Saint Vincent and the Grenadines,1337.0834630463473
Saint Kitts and Nevis,1334.5897386020047
Kiribati,1331.7174828983125
Saare County,1326.238080254562
